-83,-7,-51,-93
49,3,-93,5
-56,-54,8,53
-27,-53,-63,85
70,7,-2,-31
-76,-51,-18,-59
-77,-66,-21,-32
53,4,-90,32
98,0,-3,-31
-56,56,61,-91
-96,90,-96,-90
-77,59,60,26
-92,28,100,100
97,-92,71,31
-90,-26,32,-2
2,29,-64,-33
82,74,34,48
85,-5,0,33
39,74,-76,18
-81,-69,1,-54
-77,-97,-100,-68
-94,86,13,72
62,60,-39,17
-100,38,95,62
-24,26,-77,-69
27,79,94,-20
52,36,-92,-97
67,17,26,9
16,-88,27,-24
-30,-54,-81,-16
74,-78,-43,50
-78,-72,40,10
-14,-81,54,-91
-7,-79,-2,83
-11,82,48,-52
-28,-3,-86,-3
-13,-66,22,-94
-39,86,-91,-95
82,65,-71,99
-83,-56,-73,-43
-29,-16,76,-37
-5,-90,-53,27
-79,13,69,-61
-49,-62,90,-66
-96,85,-80,78
41,-78,-75,17
-96,-94,45,54
59,62,12,-55
100,-14,15,27
-12,-16,-73,34
41,-99,-71,26
-6,29,-60,-67
-22,-94,55,54
-59,52,50,69
68,-50,96,26
95,-25,-17,22
74,-36,67,42
57,-93,-44,-90
62,-1,29,-78
-62,-63,90,70
-97,81,68,-28
-3,41,16,69
36,90,66,70
-44,-98,-28,84
-96,30,88,-67
-12,-5,13,-78
24,-87,68,87
-99,35,5,-100
-42,-61,-40,-31
62,-69,-78,12
-65,10,-55,-18
-92,54,48,60
8,95,31,77
68,-14,-57,26
-42,16,89,-28
38,40,50,-22
-31,60,-99,-23
5,-94,81,10
-81,41,48,74
31,49,-16,83
6,-6,85,40
57,-22,74,-23
-94,-4,39,5
-19,94,91,-64
-53,2,13,26
-67,-93,9,-8
98,-18,3,-54
-99,-46,-50,8
54,-95,-92,48
-36,-24,-60,22
91,-7,51,74
-58,-27,-97,20
10,71,70,-41
90,93,-18,60
-94,-11,23,-34
-70,33,91,-38
-28,62,13,31
-73,-41,-55,27
-33,86,11,-92
-66,-73,59,89
73,14,2,35
-4,-84,86,-98
-60,81,-13,34
-44,54,-85,49
-23,-88,-17,-65
-41,-93,-25,100
-22,18,-66,85
-51,24,41,19
-81,77,76,-15
-50,75,22,14
-58,-65,25,-3
-19,-92,-85,-77
-11,69,26,48
-94,-96,-41,-48
-82,67,-84,31
70,-4,-2,-94
52,-77,-79,-12
-57,-11,67,17
-36,-49,-73,37
-79,61,30,-76
19,-89,-10,-45
-35,41,-15,18
-55,23,-34,-54
-84,-34,-64,-25
-26,1,61,-90
43,-64,-35,34
15,84,-46,-77
-50,-23,-85,31
26,88,53,-59
-11,32,-3,19
55,-96,-69,-5
-22,37,96,-31
-90,-15,9,81
77,-74,88,-37
28,37,-97,-71
26,-40,86,47
-67,-8,-19,64
-41,-25,-93,-62
-87,-83,-8,77
-41,42,92,-62
-94,-35,54,-70
-99,49,83,59
18,-31,-3,67
-93,-46,58,-6
-80,-54,-49,-27
-98,30,-86,-86
39,-74,87,-3
92,-26,-97,44
7,5,-25,-5
-52,-22,-53,-38
90,30,24,-42
59,72,74,-10
29,71,-51,-4
-93,72,43,-43
-94,23,-40,-38
-97,-69,70,-45
-98,-10,76,-72
-8,93,-33,-97
